,Artist,NumAlbums,YearFirstAlbum,Gender,Group.Solo
350,Kaskade,25,2003,M,Solo
351,Lloyd,7,2004,M,Solo
352,Trace Adkins,14,1996,M,Solo
353,Evanescence,7,2003,,Group
354,Taio Cruz,4,2008,M,Solo
355,Steve Holy,3,2000,M,Solo
356,Foo Fighters,9,1995,M,Group
357,Birdman,10,2004,M,Solo
358,The Black Eyed Peas,9,1998,,Group
359,Hugh Laurie,4,1988,M,Solo
360,Tony Bennett,68,1952,M,Solo
361,Amy Winehouse,6,2003,F,Solo
362,Pistol Annies,3,2011,F,Group
363,Tinie Tempah,4,2010,M,Solo
364,Martin Solveig,16,2000,M,Solo
365,Dragonette,9,2007,,Group
366,Mat Kearney,5,2006,M,Solo
367,Kirk Franklin,14,1993,M,Solo
368,Marsha Ambrosius,3,2011,F,Solo
369,Seether,11,2002,M,Group
370,Don Omar,9,2003,M,Solo
371,Jill Scott,25,2000,F,Solo
372,Shania Twain,7,1993,F,Solo
373,My Chemical Romance,7,2002,M,Group
374,Jordin Sparks,3,2007,F,Solo
375,Diddy,7,1997,M,Solo
376,Thirty Seconds To Mars,6,2002,M,Group
377,Akon,7,2004,M,Solo
378,Keri Hilson,3,2009,F,Solo
379,Edward Maya,7,2009,M,Solo
380,Far*East Movement,5,2009,M,Group
381,Josh Kelley,10,2003,M,Solo
382,Mary Mary,21,1992,F,Group
383,Amiee Mann,11,1993,F,Solo
384,Sunny Sweeney,4,2006,F,Solo
385,Cage The Elephant,7,2008,M,Group
386,Gorilla Zoe,40,2007,M,Solo
387,Sick Puppies,6,2001,,Group
388,Aaron Lewis,4,2011,M,Solo
389,Twista,18,1997,M,Solo
390,Plain White T's,7,2005,M,Group
391,3 Doors Down,8,2000,M,Group
392,Yolanda Be Cool,8,2010,M,Group
393,Dcup,6,2010,M,Solo
394,Rise Against,11,2004,M,Group
395,James Blunt,8,2004,M,Solo
396,Yellowcard,12,1999,M,Group
397,Reba McEntire,40,1977,F,Solo
398,The Ready Set,5,2009,M,Solo
399,Jesse McCartney,7,2004,M,Solo
400,Natasha Bedingfield,11,2004,F,Solo
401,Jazmine Sullivan,3,2008,F,Solo
402,Monica,9,1995,F,Solo
403,Kings Of Leon,5,2003,M,Group
404,Hannah Montana,8,2006,F,Solo
405,Josh Thompson,3,2010,M,Solo
406,Cali Swag District,4,2011,M,Group
407,A Rocket To The Moon,3,2006,M,Group
408,Soulja Boy,29,2007,M,Solo
409,Uncle Kracker,8,2000,M,Solo
410,Gyptian,7,2006,M,Solo
411,Chris Willis,7,2006,M,Solo
412,La Roux,3,2009,,Group
413,Shontelle,4,2008,F,Solo
414,Rob Thomas,6,2005,M,Solo
415,Soundgarden,11,1989,M,Group
416,Asher Roth,4,2009,M,Solo
417,Clay Walker,11,1993,M,Solo
418,Timbaland,5,2007,M,Solo
419,V V Brown,4,2009,F,Solo
420,Jaheim,8,2001,M,Solo
421,Lloyd Banks,10,2003,M,Solo
422,Lee DeWyze,6,2007,M,Solo
423,Crystal Bowersox,4,2010,F,Solo
424,Will Young,11,2002,M,Solo
425,Charice,4,2010,M,Solo
426,Erykah Badu,9,1997,F,Solo
427,Kris Allen,6,2009,M,Solo
428,Spose,9,2008,M,Solo
429,Maxwell,7,1996,M,Solo
430,Theory Of A Deadman,6,2002,M,Group
431,Alpha Rev,4,2008,M,Group
