,Name,Artists,Year,Debut.rank,Peak.position,Weeks.to.peak,Weeks.at.peak,Lowest.rank,Weeks.to.low,Ending.rank,Total.weeks.on
2953,Like Glue,Sean Paul,2003,89,13.0,13.0,1,89,1.0,84,20.0
2954,Like I Can,Sam Smith,2015,99,99.0,1.0,2,99,1.0,99,2.0
2955,Like I Love You,Justin Timberlake,2002,67,11.0,6.0,1,67,1.0,59,18.0
2956,Like I Loved You,Brett Young,2017,95,46.0,14.0,1,95,1.0,66,19.0
2957,Like I Would,Zayn,2016,55,55.0,1.0,1,93,2.0,73,3.0
2958,Like I'm Gonna Lose You,Meghan Trainor,2015,95,8.0,21.0,1,95,1.0,46,39.0
2959,Like Jesus Does,Eric Church,2013,99,59.0,8.0,1,99,1.0,84,17.0
2960,Like My Mother Does,Lauren Alaina,2011,20,20.0,1.0,1,60,2.0,60,2.0
2961,Like Red On A Rose,Alan Jackson,2006,96,80.0,2.0,1,96,1.0,90,5.0
2962,Like This,Kelly Rowland,2007,96,30.0,16.0,1,98,2.0,78,20.0
2963,Like This,Mims,2007,91,32.0,10.0,1,93,20.0,93,20.0
2964,Like Toy Soldiers,Eminem,2005,64,34.0,3.0,1,94,11.0,94,11.0
2965,Like We Never Loved At All,Faith Hill,2005,97,45.0,9.0,1,97,1.0,50,21.0
2966,Like Whoa,"Aly, AJ",2008,72,63.0,2.0,1,99,7.0,92,8.0
2967,Like You,Bow Wow,2005,63,3.0,9.0,2,63,1.0,50,20.0
2968,Like You,Daddy Yankee,2005,99,78.0,3.0,1,99,1.0,95,7.0
2969,Like You'll Never See Me Again,Alicia Keys,2007,93,12.0,13.0,1,93,1.0,45,24.0
2970,Lil Freak,Usher,2010,43,40.0,8.0,2,87,16.0,87,16.0
2971,"Lions, Tigers & Bears",Jazmine Sullivan,2009,99,74.0,5.0,1,99,1.0,96,8.0
2972,Lip Gloss,Lil Mama,2007,95,10.0,3.0,1,96,11.0,96,11.0
2973,Lips Are Movin,Meghan Trainor,2014,93,4.0,8.0,2,93,1.0,48,29.0
2974,Lips Of An Angel,Hinder,2006,97,3.0,12.0,3,97,1.0,44,32.0
2975,Lips Of An Angel,Jack Ingram,2007,77,77.0,1.0,1,94,2.0,94,2.0
2976,Liquid Dreams,O,2000,21,10.0,3.0,1,59,12.0,59,12.0
2977,Liquor,Chris Brown,2015,96,60.0,7.0,2,99,15.0,89,17.0
2978,Listen,Beyonce,2007,95,61.0,5.0,1,95,1.0,90,12.0
2979,Little Bit Of Everything,Keith Urban,2013,94,33.0,13.0,1,94,1.0,92,20.0
2980,Little Bit Of Life,Craig Morgan,2006,100,75.0,9.0,1,100,1.0,92,13.0
2981,Little Bit Of You,Chase Bryant,2016,99,71.0,10.0,1,99,1.0,88,11.0
2982,Little Drummer Boy,Pentatonix,2013,13,13.0,1.0,1,64,3.0,64,3.0
2983,Little Good,Byes,1999,57,43.0,5.0,2,84,10.0,84,10.0
2984,Little Lion Man,"Mumford, Sons",2010,98,45.0,22.0,1,98,1.0,45,22.0
2985,Little Man,Alan Jackson,1999,71,39.0,11.0,1,94,16.0,94,16.0
2986,Little Miss,Sugarland,2010,80,71.0,11.0,1,96,2.0,89,14.0
2987,Little Moments,Brad Paisley,2003,76,35.0,12.0,1,83,20.0,83,20.0
2988,Little More,Chris Brown,2016,91,91.0,1.0,1,91,1.0,91,1.0
2989,Little Red Wagon,Miranda Lambert,2015,76,55.0,5.0,1,93,2.0,69,11.0
2990,Little Sister,Queens Of The Stone Age,2005,89,88.0,2.0,2,100,9.0,100,9.0
2991,Little Talks,Of Monsters And Men,2012,92,20.0,37.0,1,92,1.0,50,48.0
2992,Little Things,India.Arie,2002,92,89.0,6.0,2,100,13.0,100,13.0
2993,Little Things,One Direction,2012,41,33.0,7.0,1,100,18.0,100,18.0
2994,Little Toy Guns,Carrie Underwood,2015,99,47.0,14.0,1,99,1.0,86,18.0
2995,Little White Church,Little Big Town,2010,94,59.0,13.0,1,94,1.0,93,20.0
2996,Little Wonders,Rob Thomas,2007,78,58.0,4.0,1,92,15.0,92,16.0
2997,Litty,Meek Mill,2016,49,49.0,1.0,1,89,4.0,89,4.0
2998,Live A Little,Kenny Chesney,2011,91,61.0,4.0,3,91,1.0,90,12.0
2999,Live From The Gutter,"Drake, Future",2015,85,74.0,2.0,1,93,4.0,93,5.0
3000,Live It Up,Jennifer Lopez,2013,73,60.0,3.0,1,82,5.0,82,6.0
3001,Live Like We're Dying,Kris Allen,2009,89,18.0,18.0,1,92,2.0,50,29.0
3002,Live Like You Were Dying,Tim McGraw,2004,73,29.0,21.0,2,73,1.0,46,23.0
3003,Live While We're Young,One Direction,2012,3,3.0,1.0,1,94,16.0,94,16.0
3004,Live Your Life,T.I.,2008,80,1.0,2.0,6,80,1.0,48,28.0
3005,Livin' It Up,Ja Rule,2001,78,6.0,14.0,1,78,1.0,32,24.0
3006,Livin' Our Love Song,Jason Michael Carroll,2007,96,52.0,13.0,1,98,17.0,98,17.0
3007,Living And Living Well,George Strait,2002,75,27.0,12.0,1,75,1.0,62,20.0
3008,Living For The Night,George Strait,2009,92,53.0,14.0,1,93,17.0,93,17.0
3009,Living In Fast Forward,Kenny Chesney,2006,95,48.0,8.0,1,98,17.0,98,17.0
3010,Loaded,Ricky Martin,2001,97,97.0,1.0,1,100,2.0,100,2.0
3011,Loca,Shakira,2010,98,32.0,3.0,1,100,9.0,96,11.0
3012,Location,Khalid,2017,77,16.0,16.0,1,77,1.0,48,43.0
3013,Locked Away,R. City,2015,85,6.0,9.0,2,85,1.0,48,27.0
3014,Locked Out Of Heaven,Bruno Mars,2012,34,1.0,10.0,6,49,36.0,49,36.0
3015,Locked Up,Akon,2004,97,8.0,18.0,3,97,1.0,48,27.0
3016,Lockjaw,French Montana,2016,98,73.0,3.0,2,100,11.0,96,13.0
3017,Loco,David Lee Murphy,2004,74,44.0,11.0,1,99,18.0,99,18.0
3018,Loco,Enrique Iglesias,2013,87,80.0,3.0,1,99,4.0,99,4.0
3019,Lolli Lolli,Three 6 Mafia,2008,79,18.0,12.0,1,79,1.0,65,20.0
3020,Lollipop,Framing Hanley,2009,86,82.0,3.0,1,100,8.0,91,10.0
3021,Lollipop,Lil Wayne,2008,85,1.0,6.0,5,85,1.0,47,28.0
3022,Lolly,Maejor Ali,2013,19,19.0,1.0,1,97,4.0,97,4.0
3023,London Bridge,Fergie,2006,84,1.0,3.0,3,84,1.0,47,20.0
3024,Lonely,Akon,2005,90,4.0,9.0,3,90,1.0,60,19.0
3025,Lonely Boy,The Black Keys,2011,91,64.0,5.0,1,99,16.0,89,20.0
3026,Lonely Eyes,Chris Young,2015,95,50.0,14.0,1,95,1.0,78,18.0
3027,Lonely No More,Rob Thomas,2005,78,6.0,14.0,1,78,1.0,50,34.0
3028,Lonely Tonight,Blake Shelton,2014,95,47.0,12.0,1,95,1.0,88,17.0
3029,Long Black Train,Josh Turner,2003,96,72.0,13.0,1,100,18.0,100,18.0
3030,Long Hot Summer,Keith Urban,2011,89,45.0,13.0,1,99,18.0,99,18.0
3031,Long Road To Ruin,Foo Fighters,2008,100,89.0,9.0,1,100,1.0,100,12.0
3032,Long Time Gone,Dixie Chicks,2002,67,7.0,10.0,1,90,17.0,87,19.0
3033,Long Trip Alone,Dierks Bentley,2007,99,66.0,9.0,1,99,1.0,88,12.0
3034,Long Way 2 Go,Cassie,2006,97,97.0,1.0,1,100,2.0,100,2.0
3035,Look After You,The Fray,2007,91,59.0,5.0,1,99,10.0,99,10.0
3036,Look Alive,BlocBoy JB,2018,6,5.0,2.0,3,44,21.0,40,25.0
3037,Look Alive,Rae Sremmurd,2016,76,72.0,4.0,2,94,6.0,94,6.0
3038,Look At Me Now,Chris Brown,2011,11,6.0,9.0,1,48,27.0,48,27.0
3039,Look At Me!,XXXTENTACION,2017,95,34.0,9.0,1,95,1.0,60,20.0
3040,Look At Us,Sarina Paris,2001,99,59.0,10.0,2,100,20.0,100,20.0
3041,Look At You,"Big, Rich",2014,100,73.0,11.0,1,100,1.0,81,14.0
3042,Look Back At It,A Boogie Wit da Hoodie,2018,95,27.0,22.0,1,96,2.0,47,29.0
3043,Look What God Gave Her,Thomas Rhett,2019,52,32.0,14.0,1,82,2.0,54,17.0
3044,Look What You Made Me Do,Taylor Swift,2017,77,1.0,2.0,3,77,1.0,55,19.0
3045,Look What You've Done,Jet,2005,70,37.0,10.0,1,90,20.0,90,20.0
3046,Lookin' For A Good Time,Lady Antebellum,2008,91,67.0,11.0,1,94,15.0,94,15.0
3047,Lookin' For That Girl,Tim McGraw,2014,96,85.0,3.0,2,96,1.0,85,4.0
3048,Looking For You,Kirk Franklin,2005,92,61.0,19.0,2,99,6.0,61,20.0
3049,Lord Knows,Meek Mill,2015,88,88.0,1.0,1,96,2.0,96,2.0
3050,Lose Control,Missy Elliott,2005,86,3.0,18.0,1,86,1.0,44,28.0
3051,Lose It,Kane Brown,2018,84,28.0,18.0,1,98,2.0,41,20.0
3052,Lose My Breath,Destiny's Child,2004,30,3.0,6.0,4,43,23.0,43,23.0
3053,Lose My Mind,Brett Eldredge,2015,97,48.0,18.0,1,97,1.0,67,20.0
3054,Lose My Mind,Young Jeezy,2010,35,35.0,1.0,1,87,15.0,87,15.0
3055,Lose Yourself,Eminem,2002,43,1.0,6.0,12,43,1.0,43,23.0
3056,Loser,3 Doors Down,2000,76,55.0,7.0,1,76,1.0,70,20.0
3057,Loser Like Me,Glee Cast,2011,6,6.0,1.0,1,79,3.0,79,3.0
3058,Losin Control,Russ,2017,89,62.0,11.0,1,95,19.0,95,19.0
3059,Losing Grip,Avril Lavigne,2003,71,64.0,3.0,2,93,6.0,93,6.0
3060,Losing My Religion,Dia Frampton,2011,54,54.0,1.0,1,89,2.0,89,2.0
3061,Losing Sleep,Chris Young,2017,94,60.0,18.0,1,94,1.0,71,19.0
3062,Lost,Faith Hill,2007,61,61.0,1.0,1,93,2.0,93,2.0
3063,Lost,Gorilla Zoe,2009,93,71.0,7.0,1,96,11.0,96,11.0
3064,Lost Boy,Ruth B,2016,75,24.0,17.0,2,87,3.0,43,22.0
3065,Lost In Japan,"Shawn Mendes, Zedd",2018,64,48.0,6.0,1,99,2.0,84,16.0
3066,Lost In The Fire,"Gesaffelstein, The Weeknd",2019,27,27.0,1.0,1,61,6.0,61,6.0
3067,Lost In This Moment,"Big, Rich",2007,72,36.0,12.0,3,75,3.0,49,20.0
3068,Lost One,Jay,2006,66,58.0,3.0,1,96,8.0,96,8.0
3069,Lost Without U,Robin Thicke,2006,92,14.0,14.0,1,94,3.0,40,23.0
3070,Lost You Anyway,Toby Keith,2009,97,69.0,9.0,1,97,1.0,85,10.0
3071,Lot Of Leavin' Left To Do,Dierks Bentley,2005,96,47.0,12.0,1,96,1.0,94,19.0
3072,Lotus Flower Bomb,Wale,2011,87,38.0,8.0,1,87,1.0,70,20.0
3073,Loud,Mac Miller,2012,53,53.0,1.0,1,90,2.0,90,2.0
3074,Love,Keyshia Cole,2006,82,19.0,10.0,1,100,19.0,100,19.0
3075,Love,Lana Del Rey,2017,44,44.0,1.0,1,73,2.0,73,2.0
3076,Love,Musiq Soulchild,2001,77,24.0,7.0,4,77,1.0,50,21.0
3077,Love Ain't,Eli Young Band,2019,81,50.0,5.0,1,90,11.0,90,11.0
3078,Love All Over Me,Monica,2010,94,58.0,9.0,2,94,1.0,91,17.0
3079,Love And War,Tamar Braxton,2012,57,57.0,1.0,1,98,3.0,94,20.0
3080,Love At First Sight,Kylie Minogue,2002,95,23.0,11.0,1,95,1.0,92,16.0
3081,Love Don't Cost A Thing,Jennifer Lopez,2000,46,3.0,11.0,1,48,19.0,48,19.0
3082,Love Don't Die,The Fray,2014,81,60.0,6.0,1,82,2.0,74,9.0
3083,Love Don't Live Here,Lady Antebellum,2008,95,53.0,9.0,1,96,18.0,96,18.0
3084,Love Don't Run,Steve Holy,2011,90,78.0,4.0,1,98,2.0,98,7.0
3085,Love Done Gone,Billy Currington,2011,98,58.0,11.0,1,98,1.0,86,15.0
3086,Love Drought,Beyonce,2016,47,47.0,1.0,1,73,2.0,73,2.0
3087,Love Drunk,Boys Like Girls,2009,46,22.0,2.0,2,52,4.0,45,20.0
3088,Love Faces,Trey Songz,2011,100,63.0,6.0,3,100,1.0,99,16.0
3089,Love Galore,SZA,2017,70,32.0,16.0,1,81,2.0,48,20.0
3090,Love In This Club Part II,Usher,2008,79,18.0,4.0,1,100,14.0,100,14.0
3091,Love Is A Beautiful Thing,Phil Vassar,2008,97,48.0,11.0,1,99,2.0,86,17.0
3092,Love Is An Open Door,"Kristen Bell, Santino Fontana",2014,49,49.0,1.0,1,92,4.0,92,4.0
3093,Love Is Blind,Eve,2000,94,34.0,7.0,1,99,16.0,99,16.0
3094,Love Is Free,Sheryl Crow,2008,77,77.0,1.0,1,98,3.0,98,6.0
3095,Love King,The,2010,92,92.0,1.0,1,98,2.0,98,3.0
3096,Love Lies,"Khalid, Normani",2018,43,9.0,28.0,1,66,3.0,41,51.0
3097,Love Like Crazy,Lee Brice,2010,97,45.0,11.0,1,97,1.0,69,20.0
3098,Love Like This,Natasha Bedingfield,2007,94,11.0,15.0,1,94,1.0,42,20.0
3099,Love Like Winter,AFI,2006,88,68.0,3.0,1,89,5.0,89,5.0
3100,Love Like Woe,The Ready Set,2010,97,27.0,11.0,3,97,1.0,37,21.0
3101,Love Lockdown,Kanye West,2008,3,3.0,1.0,2,42,23.0,42,23.0
3102,Love Me,Justin Bieber,2009,37,37.0,1.0,1,95,3.0,86,4.0
3103,Love Me,Lil Wayne,2013,53,9.0,8.0,2,53,1.0,47,22.0
3104,Love Me Again,John Newman,2013,85,30.0,13.0,2,85,1.0,85,18.0
3105,Love Me Harder,"Ariana Grande, The Weeknd",2014,79,7.0,5.0,2,79,1.0,49,22.0
3106,Love Me If You Can,Toby Keith,2007,83,48.0,11.0,1,90,17.0,90,17.0
3107,Love Me Like You Do,Ellie Goulding,2015,45,3.0,7.0,2,48,34.0,48,34.0
3108,Love Me Like You Mean It,Kelsea Ballerini,2015,97,45.0,11.0,1,97,1.0,87,18.0
3109,Love Me Now,John Legend,2016,55,23.0,7.0,1,98,2.0,88,19.0
3110,Love Me Or Hate Me,Lady Sovereign,2006,81,45.0,4.0,1,93,9.0,93,9.0
3111,Love Me Right,Angel City,2004,97,95.0,2.0,2,100,4.0,100,4.0
3112,Love More,Chris Brown,2013,56,23.0,14.0,2,90,2.0,46,26.0
3113,Love Myself,Hailee Steinfeld,2015,96,30.0,6.0,1,96,1.0,93,16.0
3114,Love Never Felt So Good,"Michael Jackson, Justin Timberlake",2014,20,9.0,3.0,1,88,20.0,88,20.0
3115,Love Of A Woman,Travis Tritt,2001,76,39.0,10.0,1,85,17.0,83,20.0
3116,Love Of My Life,Brian McKnight,2001,74,51.0,9.0,1,95,20.0,95,20.0
3117,Love On The Brain,Rihanna,2016,83,5.0,21.0,1,83,1.0,43,31.0
3118,Love On The Weekend,John Mayer,2016,53,53.0,1.0,1,91,2.0,91,2.0
3119,Love On Top,Beyonce,2011,20,20.0,1.0,1,98,4.0,58,20.0
3120,Love Remains The Same,Gavin Rossdale,2008,76,27.0,17.0,1,90,3.0,46,31.0
3121,Love Remembers,Craig Morgan,2008,87,73.0,3.0,1,97,9.0,97,9.0
3122,Love Runs Out,OneRepublic,2014,81,15.0,11.0,1,81,1.0,61,20.0
3123,Love Sex Magic,Ciara,2009,86,10.0,3.0,1,98,12.0,98,12.0
3124,Love So Soft,Kelly Clarkson,2017,62,47.0,8.0,1,81,2.0,79,13.0
3125,Love Somebody,Maroon 5,2013,54,10.0,11.0,2,54,1.0,45,21.0
3126,Love Someone,Brett Eldredge,2019,93,52.0,8.0,1,93,1.0,88,10.0
3127,Love Someone,Lukas Graham,2019,82,70.0,7.0,2,96,10.0,96,10.0
3128,Love Song,311,2004,72,59.0,15.0,1,89,6.0,78,19.0
3129,Love Song,Sara Bareilles,2007,100,4.0,17.0,3,100,1.0,47,41.0
3130,Love Sosa,Chief Keef,2012,82,56.0,3.0,1,97,14.0,97,14.0
3131,Love Story,Taylor Swift,2008,16,4.0,17.0,1,49,49.0,49,49.0
3132,Love The Way You Lie,Eminem,2010,2,1.0,4.0,7,46,29.0,46,29.0
3133,Love Wins,Carrie Underwood,2019,83,83.0,1.0,1,100,9.0,100,10.0
3134,Love You,Jack Ingram,2006,98,87.0,4.0,1,98,1.0,92,6.0
3135,Love You Like A Love Song,"Selena Gomez, The Scene",2011,72,22.0,35.0,1,72,1.0,44,38.0
3136,Love You Like That,Canaan Smith,2015,96,46.0,16.0,1,96,1.0,84,20.0
3137,Love You More,Ginuwine,2003,93,78.0,6.0,2,99,16.0,99,16.0
3138,Love You Out Loud,Rascal Flatts,2003,72,30.0,12.0,1,87,20.0,87,20.0
3139,Love Your Love The Most,Eric Church,2009,90,63.0,10.0,1,90,1.0,85,16.0
3140,Love Yourself,Justin Bieber,2015,4,1.0,11.0,2,48,41.0,48,41.0
3141,Love's Divine,Seal,2004,93,79.0,9.0,3,93,1.0,84,20.0
3142,Love's Gonna Make It Alright,George Strait,2012,99,61.0,9.0,1,99,1.0,85,11.0
3143,Love's The Only House,Martina McBride,2000,79,42.0,11.0,2,93,18.0,90,20.0
3144,Love.,Kendrick Lamar,2017,18,11.0,26.0,1,85,20.0,43,39.0
3145,LoveGame,Lady Gaga,2009,96,5.0,9.0,3,99,2.0,42,22.0
3146,LoveHate Thing,Wale,2013,89,89.0,1.0,1,98,8.0,98,8.0
3147,Lovebug,Jonas Brothers,2008,84,49.0,13.0,1,98,11.0,66,14.0
3148,Loveeeeeee Song,Rihanna,2013,100,55.0,4.0,1,100,1.0,93,20.0
3149,Lovely,"Billie Eilish, Khalid",2018,89,64.0,12.0,1,98,20.0,85,22.0
3150,"Lover, Lover",Jerrod Niemann,2010,89,29.0,13.0,2,89,1.0,81,20.0
3151,Loverboy,Mariah Carey,2001,79,2.0,7.0,2,95,14.0,95,14.0
3152,Lovin' All Night,Patty Loveless,2003,97,81.0,8.0,1,100,10.0,100,10.0
3153,Lovin' You Is Fun,Easton Corbin,2012,100,57.0,17.0,1,100,1.0,86,20.0
3154,Loving You Easy,Zac Brown Band,2015,90,40.0,12.0,1,93,17.0,93,17.0
3155,Loving You No More,Diddy,2010,91,91.0,1.0,2,91,1.0,91,2.0
3156,Low,Flo Rida,2007,91,1.0,9.0,10,91,1.0,49,40.0
3157,Low,Kelly Clarkson,2003,74,58.0,4.0,1,98,11.0,98,11.0
3158,Low Life,Future,2016,52,18.0,11.0,1,59,2.0,49,35.0
3159,Loyalty.,Kendrick Lamar,2017,14,14.0,1.0,1,74,8.0,48,26.0
3160,Lucid Dreams,Juice WRLD,2018,74,2.0,20.0,2,74,1.0,47,46.0
3161,Lucky,Britney Spears,2000,61,23.0,4.0,1,100,10.0,100,10.0
3162,Lucky,"Jason Mraz, Colbie Caillat",2008,82,48.0,5.0,1,84,2.0,71,20.0
3163,Lucky Man,Montgomery Gentry,2007,88,65.0,11.0,1,95,17.0,95,17.0
3164,Lucky You,Eminem,2018,6,6.0,1.0,1,100,14.0,100,14.0
3165,Lush Life,Zara Larsson,2016,97,75.0,3.0,1,100,2.0,75,3.0
3166,Lust,Lil Skies,2018,91,87.0,3.0,1,95,2.0,93,4.0
3167,Lust.,Kendrick Lamar,2017,42,42.0,1.0,1,75,2.0,75,2.0
3168,Luv,Tory Lanez,2016,96,19.0,11.0,1,96,1.0,46,22.0
3169,Luv U Better,LL Cool J,2002,93,4.0,13.0,3,93,1.0,35,22.0
3170,Luxurious,Gwen Stefani,2005,80,21.0,6.0,1,100,19.0,100,19.0
3171,Lying From You,Linkin Park,2004,78,58.0,6.0,1,99,16.0,97,18.0
3172,MAMA,6ix9ine,2018,58,43.0,2.0,1,100,4.0,100,4.0
3173,ME!,Taylor Swift,2019,100,2.0,2.0,1,100,1.0,31,10.0
3174,MIA,Bad Bunny,2018,5,5.0,1.0,1,47,26.0,45,27.0
3175,MJB Da MVP,Mary J. Blige,2005,86,75.0,8.0,1,87,3.0,75,8.0
3176,"Ma, I Don't Love Her",Clipse,2003,96,86.0,3.0,2,99,6.0,99,6.0
3177,Mad,Ne,2008,97,11.0,13.0,1,97,1.0,50,24.0
3178,Mad Season,matchbox twenty,2001,68,48.0,5.0,1,99,20.0,99,20.0
3179,Made In America,Toby Keith,2011,95,40.0,14.0,1,97,2.0,67,20.0
3180,Made In The USA,Demi Lovato,2013,80,80.0,1.0,1,89,2.0,89,2.0
3181,Made Me,Snootie Wild,2014,97,93.0,2.0,1,97,1.0,96,3.0
3182,Made You Look,Nas,2002,58,32.0,7.0,1,93,13.0,93,13.0
3183,Madiba Riddim,Drake,2017,51,51.0,1.0,1,84,2.0,84,2.0
3184,Madness,Muse,2012,84,45.0,27.0,2,95,2.0,45,29.0
3185,Magic,B.o.B,2010,83,10.0,11.0,1,100,2.0,45,20.0
3186,Magic,Coldplay,2014,24,14.0,11.0,1,97,14.0,97,14.0
3187,Magic,Robin Thicke,2008,88,59.0,11.0,1,100,17.0,100,17.0
3188,Magic,Selena Gomez,2009,61,61.0,1.0,1,91,4.0,91,4.0
3189,Magic Stick,Lil' Kim,2003,75,2.0,12.0,3,75,1.0,50,23.0
3190,Magnificent,Rick Ross,2009,88,62.0,7.0,1,88,1.0,86,11.0
3191,Magnolia,Playboi Carti,2017,91,29.0,8.0,3,91,1.0,63,20.0
3192,Main Chick,Kid Ink,2014,92,60.0,11.0,1,100,20.0,100,20.0
3193,Make A Memory,Bon Jovi,2007,27,27.0,1.0,1,99,16.0,98,20.0
3194,Make A Movie,Twista,2010,94,71.0,6.0,1,96,3.0,94,14.0
3195,Make Her Feel Good,Teairra Mari,2005,98,35.0,13.0,1,98,1.0,90,18.0
3196,Make Her Say,Kid Cudi,2009,51,43.0,9.0,1,93,15.0,93,15.0
3197,Make It Clap,Busta Rhymes,2002,93,46.0,10.0,3,93,1.0,85,20.0
3198,Make It Nasty,Tyga,2012,91,91.0,1.0,1,93,2.0,93,2.0
3199,Make It Rain,Ed Sheeran,2014,34,34.0,1.0,1,56,2.0,56,2.0
3200,Make It Rain,Fat Joe,2006,55,13.0,14.0,1,55,1.0,42,24.0
3201,Make It Rain,Travis Porter,2011,100,92.0,4.0,1,100,1.0,97,6.0
3202,Make It Sweet,Old Dominion,2019,98,56.0,17.0,1,100,3.0,80,20.0
3203,Make Me,Noah Cyrus,2016,98,46.0,8.0,3,98,1.0,73,15.0
3204,Make Me A Song,Kiley Dean,2003,99,99.0,1.0,2,99,1.0,99,2.0
3205,Make Me Better,Fabolous,2007,96,8.0,12.0,2,96,1.0,47,21.0
3206,Make Me Like You,Gwen Stefani,2016,54,54.0,1.0,1,100,5.0,100,5.0
3207,Make Me Proud,Drake,2011,97,9.0,2.0,1,97,1.0,53,20.0
3208,Make Me Wanna,Thomas Rhett,2014,99,43.0,14.0,1,99,1.0,95,20.0
3209,Make Me...,Britney Spears,2016,17,17.0,1.0,2,76,9.0,76,9.0
3210,Make Up,Ariana Grande,2019,48,48.0,1.0,1,95,2.0,95,2.0
3211,Make You Miss Me,Sam Hunt,2016,93,45.0,13.0,1,93,1.0,86,19.0
3212,MakeDamnSure,Taking Back Sunday,2006,78,48.0,2.0,1,98,18.0,98,18.0
3213,Makes Me Wonder,Maroon 5,2007,84,1.0,4.0,3,84,1.0,45,23.0
3214,Makin' Good Love,Avant,2002,74,27.0,8.0,2,87,20.0,87,20.0
3215,Making Memories Of Us,Keith Urban,2005,90,34.0,9.0,1,90,1.0,77,20.0
3216,Malibu,Miley Cyrus,2017,64,10.0,2.0,1,78,15.0,78,15.0
3217,Mama Said,Lukas Graham,2016,81,36.0,7.0,1,87,2.0,73,11.0
3218,Mama's Broken Heart,Miranda Lambert,2013,89,20.0,12.0,1,89,1.0,60,20.0
3219,Mama's Song,Carrie Underwood,2009,77,56.0,12.0,1,93,19.0,93,19.0
3220,Mamacita,Public Announcement,2000,59,39.0,3.0,2,90,8.0,90,8.0
3221,Man Down,Rihanna,2011,94,59.0,5.0,1,95,14.0,95,14.0
3222,Man Of The Year,ScHoolboy Q,2014,81,62.0,3.0,1,96,13.0,96,13.0
3223,Man To Man,Gary Allan,2002,78,25.0,11.0,1,85,20.0,85,20.0
3224,Man! I Feel Like A Woman!,Shania Twain,1999,86,23.0,14.0,1,100,4.0,31,15.0
3225,Maneater,Nelly Furtado,2006,62,16.0,5.0,2,76,20.0,76,20.0
3226,Maps,Maroon 5,2014,14,6.0,6.0,1,42,22.0,42,22.0
3227,Maps,Yeah Yeah Yeahs,2004,98,87.0,8.0,2,100,2.0,100,13.0
3228,Maria Maria,Santana,2000,15,1.0,9.0,10,48,25.0,47,26.0
3229,Mark My Words,Justin Bieber,2015,42,42.0,1.0,1,90,4.0,90,4.0
3230,Marry For Money,Trace Adkins,2009,99,98.0,3.0,1,99,1.0,98,3.0
3231,Marry Me,Jason Derulo,2013,72,26.0,11.0,1,99,17.0,99,17.0
3232,Marry Me,Thomas Rhett,2017,97,30.0,14.0,1,97,1.0,56,19.0
3233,Marry Me,Train,2010,95,34.0,12.0,1,95,1.0,48,20.0
3234,Marry The Night,Lady Gaga,2011,79,29.0,5.0,1,97,2.0,93,12.0
3235,Marry You,Bruno Mars,2010,91,85.0,5.0,1,100,7.0,95,9.0
3236,Marry You,Glee Cast,2010,32,32.0,1.0,1,57,2.0,57,2.0
3237,Marvin & Chardonnay,Big Sean,2011,88,32.0,10.0,1,88,1.0,76,20.0
3238,Marvin Gaye,Charlie Puth,2015,87,21.0,15.0,1,87,1.0,61,20.0
3239,"Mary, Did You Know?",Pentatonix,2014,26,26.0,1.0,1,67,6.0,45,7.0
3240,Mask Off,Future,2017,49,5.0,9.0,2,49,1.0,48,31.0
3241,Masterpiece,Jessie J,2015,65,65.0,1.0,1,85,3.0,85,3.0
3242,May We All,Florida Georgia Line,2016,56,30.0,11.0,2,86,3.0,52,20.0
3243,Maybe,Sick Puppies,2010,100,56.0,9.0,1,100,1.0,85,15.0
3244,Maybe I Deserve,Tank,2001,71,38.0,8.0,1,99,19.0,99,19.0
3245,Maybe It Was Memphis,Danielle Bradbery,2013,92,92.0,1.0,1,93,2.0,93,2.0
3246,Mayberry,Rascal Flatts,2004,74,21.0,14.0,1,74,1.0,68,20.0
3247,Mayores,Becky G,2017,97,74.0,5.0,1,100,16.0,97,17.0
3248,Me Against The Music,Britney Spears,2003,50,35.0,6.0,1,95,12.0,95,12.0
3249,Me And God,Josh Turner,2007,98,98.0,1.0,2,98,1.0,98,2.0
3250,Me And My Broken Heart,Rixton,2014,87,14.0,6.0,1,87,1.0,62,20.0
3251,Me And My Gang,Rascal Flatts,2006,93,50.0,11.0,1,98,16.0,98,16.0
3252,Me And Your Mama,Childish Gambino,2016,69,68.0,2.0,1,69,1.0,68,2.0
3253,Me Enamora,Juanes,2007,99,69.0,6.0,1,99,1.0,91,14.0
3254,Me Enamore,Shakira,2017,100,83.0,2.0,1,100,1.0,83,2.0
3255,Me Love,Sean Kingston,2007,28,14.0,3.0,1,95,16.0,90,18.0
3256,Me Neither,Brad Paisley,2000,87,85.0,2.0,1,92,4.0,92,4.0
3257,Me Niego,Reik,2018,77,77.0,1.0,1,97,3.0,97,3.0
3258,Me Too,Meghan Trainor,2016,39,13.0,11.0,1,75,20.0,75,20.0
3259,"Me, Myself & I",G,2015,83,7.0,17.0,5,89,2.0,49,37.0
3260,"Me, Myself And I",Beyonce,2003,78,4.0,15.0,1,78,1.0,43,22.0
3261,Mean,Taylor Swift,2010,11,11.0,1.0,1,90,2.0,63,20.0
3262,Mean To Me,Brett Eldredge,2014,95,53.0,19.0,1,97,3.0,68,20.0
