,Name,Artists,Year,Debut.rank,Peak.position,Weeks.to.peak,Weeks.at.peak,Lowest.rank,Weeks.to.low,Ending.rank,Total.weeks.on
120,Aerials,System Of A Down,2002,67,55.0,4.0,1,91,17.0,90,20.0
121,Africa,Weezer,2018,89,51.0,9.0,1,96,15.0,96,15.0
122,After Dark,Drake,2018,41,41.0,1.0,1,82,3.0,82,3.0
123,After Party,Koffee Brown,2001,98,44.0,11.0,2,98,1.0,94,20.0
124,Again,Faith Evans,2005,90,47.0,8.0,1,93,2.0,90,14.0
125,Again,Fetty Wap,2015,33,33.0,1.0,1,50,6.0,50,26.0
126,Again,Lenny Kravitz,2000,72,4.0,14.0,6,72,1.0,47,32.0
127,Again And Again,Jewel,2006,80,80.0,1.0,1,89,2.0,89,2.0
128,Ai Se Eu Te Pego,Michel Telo,2012,95,81.0,5.0,1,99,9.0,96,12.0
129,Ain't Back Yet,Kenny Chesney,2010,73,50.0,8.0,1,85,13.0,85,13.0
130,Ain't I,Yung L.A.,2009,100,47.0,7.0,2,100,1.0,97,19.0
131,Ain't It Fun,Paramore,2014,96,10.0,11.0,1,96,1.0,49,24.0
132,Ain't It Funny,Jennifer Lopez,2001,74,1.0,11.0,6,74,1.0,43,27.0
133,Ain't Leavin Without You,Jaheim,2010,96,93.0,3.0,1,100,2.0,98,4.0
134,Ain't My Fault,Zara Larsson,2016,85,76.0,7.0,1,90,4.0,76,7.0
135,Ain't No Other Man,Christina Aguilera,2006,19,6.0,4.0,1,53,18.0,53,18.0
136,Ain't No Rest For The Wicked,Cage The Elephant,2009,92,83.0,9.0,1,99,3.0,89,11.0
137,Ain't Nothing 'Bout You,"Brooks, Dunn",2001,77,25.0,14.0,2,77,1.0,57,20.0
138,Ain't Worried About Nothin,French Montana,2013,97,63.0,8.0,1,98,13.0,98,13.0
139,Ain't Worth The Whiskey,Cole Swindell,2015,99,43.0,12.0,1,99,1.0,90,19.0
